client_id	path	sentence	up_votes	down_votes	age	gender	accent	locale	segment
0cae0344c4bc6379e9109c5925bc9f94a5e8b17a4310586d4286609e65b5ef665cc74e04c2e330881317f8bec12a4471214b02d3dfaae58702a1e1cc7b1906e6	common_voice_ar_19216700.mp3	ألديك قلم ؟	2	1				ar	
0dd9767be01ce747c4656c72cf8a5d8ded3f191a78eff5aacb79e23240a277d6dbc6ac752d3faf92db4434e8733a5871aaa1099f82c46d20be9611bbd840a693	common_voice_ar_23558552.mp3	ليست هناك مسافة على هذه الأرض أبعد من يوم أمس.	2	0	thirties	male		ar	
1160961789729dcdc7229c4727e8c2ce1bbf40f7b2ea2e148236f37cbba3b90a4de013a7d1d37a3a3d851e6b9cf973a51af095d2bf217af47812f7fc1eb2e86f	common_voice_ar_23675091.mp3	إنك تكبر المشكلة.	2	0				ar	
14396ed35b50bf3e9fc50339d8b39d998606a66ef31da2317b9800c04c5c5c7a313a712cfcbcd4cdea3dad57b32ceb9cab3cdab00384a4737564c0cfddbe55ae	common_voice_ar_23974261.mp3	يرغب أن يلتقي بك.	2	0	teens	male		ar	
1495dfc8966b2468489faabb16b2468e409e80dd6540e472a9f77a9bc0049b42c8c835773f5fd6f60d999727bfbd036654aeedb08d8fa90e69156defdea94a4b	common_voice_ar_23972887.mp3	إنهم لا يعرفون لماذا حتى.	2	0	twenties	male		ar	
1721e0c5145cf2d4ccb592ea40119ebf6560555cb9b0dfc0994e1bcd2fedb2eeaf783d4be4b5203b4ce14942c70e12337dff01eba2887d4c9f3bc319f2047ca0	common_voice_ar_22759417.mp3	سيسعدني مساعدتك أي وقت تحب.	2	0	twenties	male		ar	
177bee55973286de1b2bab468270e4deb5ab33583a209679bd36c7c8a05c39c1e4c646d041cfb6e6c9bbb61fbdc9b6c2e76c2bd8a44143a6f991f31630ea8794	common_voice_ar_23703284.mp3	أَحَبُّ نظريّة علمية إليّ هي أن حلقات زحل مكونة بالكامل من الأمتعة المفقودة.	2	1	twenties	female		ar	
17b48ff6553b6b2164e4585d4333b9a1264e1a525651293956f5cf6908e05cfc59dbf27675d84e24f7eb840ea48e1c9f8c68307cea6d9707dd6c4681cbe9b3b7	common_voice_ar_22788984.mp3	سأشتري له قلماً.	2	0	fourties	male		ar	
21202541c45dfd6be842048008acff08ca7844d0abb25ddad1cdd240df65bb6b4d3a2df7b95e355ea27d32d4a6e59891912b2cf24efb3c1bafc4b3de2484e76d	common_voice_ar_19242995.mp3	أين المشكلة ؟	2	1				ar	
261d58c9e2d96b678c0cb4b456e3701c7241b651bbde7c473c4e6040ca742d893d1a9731b6b23da40d24f65ef037086db50179ee90357397005205a8d97a9607	common_voice_ar_24032000.mp3	وَلِلَّهِ يَسْجُدُ مَا فِي السَّمَاوَاتِ وَمَا فِي الْأَرْضِ مِنْ دَابَّةٍ وَالْمَلَائِكَةُ وَهُمْ لَا يَسْتَكْبِرُونَ	2	0				ar	
2ba7eb0856f6e9c95ad00954cf4746f1b28016430ba0c4f53db94bfef5d294764bfcb1c3810984d4da5f92a5c99542bbb978c5d0256f052be86d09aadb5043a4	common_voice_ar_23802106.mp3	لم يُحَقّق شيء عظيم باللعب في المنطقة الآمنة.	2	0	teens	male		ar	
30c7fc5a331d1dcfa95175b4c686e84f742e9ef768cf707d9c6a2568f734584ea6473e799f2b60091497717c379ccf7c883b40e51d3449a9d506fab8c022bb5d	common_voice_ar_19235572.mp3	تقوم أمي بإعداد كعكة لأجل أبي.	2	1	twenties	other		ar	
30f4fc824b518b20b9f6055bc00233f7bad903bdeb284bfd2d9a9ed86cdb32454ea8c3f4831214f5d478c1ca11a4faa38918aaf7a9c2d448bd665edfdf766325	common_voice_ar_22768145.mp3	يقود أبي السيارة إلى عمله.	2	0	twenties	male		ar	
374111f9e4930e5fceb04318f60d4f30faa8c45bc453a2b6f878469d152dd41a92c13970727bce3c82406198ada25d7e4a4f0b7d5e0f78a5d4a32bb264e32d7f	common_voice_ar_24071210.mp3	أأمنتم من في السماء أن يخسف بكم الأرض فإذا هي تمور	2	0				ar	
3e3cfac1ee5da8109dc5ebe83a5043fc9aafb3be7b80e06a78a07419ec16a03b33bfb3ae1a991c4d6c1573bdec31382dcd7d2816f5b8478ec0c0d22b658b4b2d	common_voice_ar_23961397.mp3	تحدثت معها خلال ساعة.	2	0	twenties	male		ar	
43449ee99dc4f16cea5c249410da1b1568b71e7d2b736a5c101d5160f03aa201006edda5f5b1ebf8e6a0dae0f183abc7b0990dbbfdcc2333c3072d3cc7f3e463	common_voice_ar_23974844.mp3	أتى عدة مرات.	2	0				ar	
4b09a1db944237a6c35c6e6cbef9f9b2c17a867297098881f1b394a143965cb6bf80728edec7ce49c77026fe0c910b5dada8c18ee118ac7682d300f34bd6ac8f	common_voice_ar_23973707.mp3	لم يتردد عندما قتل الطير للأكل.	3	0	twenties	female		ar	
4cbca404eeedae93a764273e4bfa0ce7008f172fa212828fe77587db34e72966df2ceac42a6ad4f28d3f644b4277187b172a4b9c942c1e943d56a4b435771edb	common_voice_ar_23972920.mp3	بالنسبة لي إن ذلك شيء مهم.	2	0	fifties	male		ar	
560ae0343354c69df8a46915c7c64b5da9e9039e5c522b34db3f0e5da92eb2d54513b95fc20163fc054ca549cfc32fd0969cdee0dfd7e5b6cf72bac03e21965c	common_voice_ar_23763510.mp3	من سيكذب لأجلك ، سيكذب عليك.	2	0				ar	
600bd4289c9cde1bc13a2f942a46eca747a79cdb48f656f0ad6aa7731c50207c66a636547e97248a9d2caefd83f02e87fc7be539bdeae4e5acdadc401ed265a0	common_voice_ar_19204574.mp3	كم الساعة ؟	2	0	twenties	male		ar	
66d30a07a39670b295a95c8fee178efd6c3e70a32ce9ea90690497ecaa2c64e0948d4b1bbbb8376a5a3f863736af3bd93c967a89d6dc68792962662f9f8ab166	common_voice_ar_24033139.mp3	عما كانوا يعملون	2	0				ar	
6ea02dfa5ceb46f8596e62a31d0c691762e095d7418f0272cae2bab57b7be169e9da81837aea802e2a43530288c8d189f82b3e9c62e17426ac091ede8a6a964d	common_voice_ar_20933539.mp3	.أعرف تلك الفتاة	2	0				ar	
711560aaac33e4ab1518da1e79d9179a70b9b31f1385dbc1cf7450e4410d01e6e2ce1289e58819190b35a2abdbcd6131997ecdbe7114140a05fcbf81ad6b30b9	common_voice_ar_24071455.mp3	وَيَقْوَى تَظَافُرُهُمْ	2	0				ar	
7a55e09ea351fe3728bb9ca51344fef2d9e2672bd340b0a1143dcb978293c0ba4d46b73efd2a69280bd934d200028eebc3b65050afadf89ea7ff39faae46fd7c	common_voice_ar_20335209.mp3	لماذا تسأل ؟	2	0				ar	
7fdf058c1a51cf807d60dbd95628e919e1be0d9a942eb24fb1177e852d99460d0dbad8515a6c72b500fe87c945463ad8f6ce09de4e4e5d000ec97ddc57667bf7	common_voice_ar_20360379.mp3	إنها جميلة جداً.	2	0				ar	
8a4e03a3fc3849e418263da67ac1b804359cf02c97e3755c3d55e88b20bd3827f50a51d2dc835dbcf3a563aed4fb918354c5c774610688206d636fdd45030694	common_voice_ar_23493240.mp3	لا أذكر بدقة.	2	1				ar	
8cd910c6ef61b70805065dd35bebc319c3010049734d3c3862193c0554bda60f86c2eff6ed9d46891ae793167dcc824ee027c431facd7e41aabc271adc535765	common_voice_ar_19644854.mp3	لم أسمع شيئاً.	2	1	twenties	male		ar	
